method,copper
A,85.24160575359703
A,84.77046780707383
A,80.94739253017376
A,84.20506256562528
A,87.49821317701543
A,81.73364561085984
A,95.48393993598813
A,91.08841829396577
A,80.84705155399676
A,74.63713343277279
A,85.72229380553874
A,81.27011531315827
A,92.30358585871781
A,80.47729836617937
A,82.89297279548282
A,82.92163201893067
A,82.16223445840794
A,91.30929825438578
A,74.75442402038139
A,86.02123299600284
A,82.84383913332184
A,86.88721010698578
A,89.68199637407365
A,79.11564402553726
A,93.88174004833387
A,89.22768005440818
A,88.11322634411843
A,99.00738002396997
A,91.10863570472353
A,81.11935570148087
A,86.15878106800238
A,85.03488416038735
A,85.82039821216283
A,93.5920045666214
A,87.17680684138347
A,94.39884260337678
A,88.80235997302097
A,84.4972295656691
A,85.05062863651901
A,90.17838608106129
A,92.50886700340007
A,85.67676632213625
A,87.02047911276232
A,89.67117175668241
A,87.62838830661575
A,81.06551249201092
A,90.2510123005429
A,93.95687701546873
A,89.51049220715853
A,93.19528408346866
B,87.25453429027195
B,88.49276295984644
B,86.65564424311368
B,86.76021041389895
B,86.61338649287669
B,84.31370505791216
B,84.78850498745489
B,84.42239725284857
B,88.72297293817488
B,79.01842388500947
B,78.60365314062118
B,82.72263096497167
B,79.78123922067329
B,84.17649839103487
B,84.65691810983854
B,87.85200103516974
B,81.96711971903298
B,90.34529395323099
B,79.7985563983316
B,92.899140348847
B,89.31626379905117
B,81.23814642040186
B,77.30497515158312
B,88.03172886659654
B,88.93130949146558
B,91.02492580654145
B,90.28605090148123
B,78.55809329753473
B,86.78491250919471
B,81.25800072345952
B,89.19821614379391
B,89.31217421723566
B,80.09226904657561
B,84.18007295202119
B,86.54143715485252
B,83.37586764779273
B,89.58718400325237
B,89.10417071812734
B,90.64556604232234
B,83.94072280997148
B,85.51686206929931
B,89.86573033473722
B,86.47786020363051
B,82.15325104995597
B,80.01565283709422
B,90.40515488018183
B,84.4050615912772
B,84.06055979654464
B,84.25362167863763
B,85.40051049169132
C,82.15777210404798
C,91.01737415579625
C,77.29761050732522
C,80.351308361049675
C,84.65597456147444
C,89.28408613078119
C,99.2805348886497
C,85.39337029090673
C,81.03668095166408
C,89.39072463481494
C,93.04256873808782
C,81.07619364426036
C,88.01775237015185
C,80.12347394924838
C,91.20672842487102
C,82.15335349983056
C,88.29613407903769
C,82.68408591124057
C,86.81134160163165
C,90.22270169482525
C,88.18350382033194
C,78.85916106086273
C,86.69022117328582
C,91.84780952705587
C,85.92350297247255
C,86.56790182477953
C,79.5605995484163
C,88.43983548293261
C,86.53265764316403
C,83.36446348691406
C,82.00706964619611
C,81.92107936390876
C,82.34772847755889
C,79.02895980709094
C,82.15450781744319
C,84.93810531557997
C,90.57964421978262
C,90.24900236196687
C,88.90197053392487
C,85.07860233068838
C,90.07302190451104
C,88.69470529067529
C,90.30499373858575
C,81.86734121889683
C,80.1729883859171
C,81.74357898518907
C,84.45149106097723
C,90.05553147543426
C,86.46102869959175
C,85.71984390186482
D,78.04384423576464
D,82.78149983578784
D,85.00265135557073
D,85.06822180935599
D,90.4597483868628
D,82.6817553214337
D,86.93908826983443
D,88.66194292716956
D,83.98115531698458
D,75.55384906817896
D,82.64334127209426
D,79.91208729844794
D,79.23781340964008
D,83.57217864485601
D,83.82548530222874
D,90.33650292255035
D,85.43283624100914
D,81.74005957704813
D,88.6426156922509
D,85.53697175970282
D,85.67815275452763
D,82.22098988641213
D,82.772389984077
D,81.92604387955211
D,81.24462213642092
D,80.65605685506102
D,79.91979792657209
D,93.14896161951326
D,78.92765871509138
D,80.7488149521
D,92.02166069406226
D,78.03855698411132
D,81.05863506107448
D,82.06609165821168
D,80.72950206870158
D,87.26035246279852
D,88.78798049110503
D,84.57229191358896
D,83.19688449243017
D,86.06878495155944
D,88.90388463348236
D,79.22908510499575
D,77.59127112589228
D,85.56502107912576
D,83.85158815782755
D,82.14572916157769
D,89.84820148248129
D,80.5658978368696
D,84.37976720350083
D,92.70426516833622
E,89.72724422729424
E,87.9659779972916
E,91.31467939258297
E,83.89753130123248
E,85.39296593652479
E,83.6926821355804
E,86.02739937573712
E,81.85413999977483
E,84.97325357497544
E,90.65267672145436
E,89.91138796121216
E,91.21072681065328
E,88.24074308145028
E,83.94293778643765
E,88.56121547729882
E,86.97841090801148
E,80.77704963919638
E,82.37119191406175
E,87.07800961814091
E,85.18533122600037
E,85.63773858675516
E,85.14717726871889
E,87.255852817254
E,93.41637710693604
E,86.83773570454949
E,83.56662206818403
E,83.5909135669686
E,95.01201802694102
E,83.02721687675286
E,88.81449743205869
E,79.54654420316926
E,87.1489917792328
E,86.40781415048401
E,90.94327534677255
E,88.63410614416651
E,78.53608488985539
E,96.76589084540171
E,86.38059551809499
E,88.47567520445367
E,81.78403922608827
E,84.78481585262645
E,81.09004168439012
E,82.37679153605173
E,85.57638430333813
E,86.06647221865087
E,90.621924140504035
E,86.77102544746576
E,87.08502864873718
E,80.28911377061623
E,86.62783082829506
